Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM
13.47,8,9.43,71.27,High
12.6,10,8.54,68.68,High
12.63,10,8.06,66.96,Normal
12.87,9,9.37,67.17,Normal
13.03,8,9.01,67.09,Normal
13,11,8.75,68.71,High
13.04,11,8.4,69.46,High
13.03,6,6.58,69.43,Normal
12.94,5,6.49,68.96,Normal
13.16,11,10.4,69.01,High
12.5,11,9.44,63.27,Normal
14.45,12,11.16,73.55,High
12.72,12,10.31,70.87,High
14.74,14,11.39,73.14,Very-High
13.62,10,10.93,72.38,High
14.54,10,11,69.41,High
13.74,7,8.61,71.19,Normal
14.02,10,8.99,69.47,High
12.82,6,7.09,64.73,Normal
13.32,9,8.26,70.86,Normal
13.04,10,7.86,68.58,Normal
12.37,10,8.11,66.21,Normal
14.33,10,8.61,69.94,High
13.67,10,7.87,68.79,High
13.87,9,8.96,72.37,High
13.29,9,7.99,69.79,Normal
12.8,8,8.09,67.4,Normal
12.71,10,8.28,67.81,Normal
12.43,11,8.47,71.33,High
13.61,9,8.19,67.82,Normal
16.52,14,11.58,73.65,Very-High
14.32,12,11.03,73.61,High
13.17,10,10.17,70,High
15.06,10,11.62,72.82,High
14.97,13,11.33,74.38,Very-High
14.26,13,10.73,73.74,High
14.54,12,10.59,70.28,High
13.2,10,9.14,71.6,High
13.33,10,8.59,68.55,High
12.36,10,8.38,70.25,Normal
11.91,9,7.23,67.85,Normal
12.24,11,8.5,71.16,High
12.76,11,9.66,71.11,High
13.46,10,9.26,70.76,High
12.84,9,8.39,70.06,Normal
12.87,11,9.69,71.2,High
12.68,9,8.25,70.3,Normal
12.82,7,7.7,67.68,Normal
15.54,14,11.68,72.34,Very-High
13.12,11,10.07,70.93,High
12.98,10,8.55,71.16,High
13.87,9,8.55,69.93,High
11.99,10,7.76,71.26,Normal
12.27,11,7.87,69.17,Normal
12.92,9,8.11,70.56,Normal
12.83,8,8.57,71.27,Normal
12.16,9,6.7,66.23,Normal
12.62,9,7.71,68.12,Normal
12.6,10,7.58,69.99,Normal
12.62,11,8.27,67.74,Normal
15.1,12,10.92,72.65,High
14.79,10,10.32,72.11,High
12.45,10,8.24,69.88,High
12.6,10,8.7,68.2,Normal
11.42,10,7.04,68.61,Normal
11.97,10,7.79,68.9,Normal
12.34,9,8.46,66.04,Normal
12.08,9,7.52,68.14,Normal
12,10,7.62,68.75,Normal
11.75,9,7.2,68.97,Normal
11.75,8,7.84,67.04,Normal
12.23,11,7.55,69.1,Normal
12.3,10,7.86,65.48,Normal
12.06,9,7.6,65.08,Normal
12.05,8,7.04,68.27,Normal
11.57,9,6.84,65.68,Normal
14.41,14,10.53,70.79,High
12.91,12,9.96,70.32,High
12.85,8,9.39,66.71,Normal
13.37,13,9.89,69.25,High
13.61,10,8.84,69.35,High
13.61,9,9.26,67.9,High
13.83,10,8.28,68.57,High
12.87,10,7.87,68.19,Normal
12.99,8,8.37,66.63,Normal
13.28,8,7.99,67.75,Normal
12.73,10,8.29,66.64,Normal
12.57,11,7.99,63.29,Normal
12.9,9,8.24,67.95,Normal
13.03,9,7.47,68.19,Normal
16.02,13,11.79,70.13,Very-High
12.65,9,8.05,70.65,Normal
12.25,9,8.06,67.58,Normal
12.18,9,7.22,68.56,Normal
12.5,9,7.69,69.33,Normal
12.85,9,7.6,70.73,Normal
12.92,11,7.58,69.84,High
12.48,8,8.21,69.21,Normal
12.36,9,7.7,69.4,Normal
11.89,10,7.49,69.97,Normal
12.36,7,7.7,69.04,Normal
12.83,10,8.38,70.08,High
11.63,7,6.88,68.19,Normal
12.05,8,7.24,70,Normal
11.99,8,8.01,63.5,Normal
14.64,12,10.93,71.37,High
